subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
8	 1	 8	 1	 1	 0	 13	 0	 2	 0	 0	 1425.18	 
8	 2	 16	 1	 2	 1	 7	 0	 1	 0	 0	 998.18	 
8	 3	 8	 1	 1	 0	 6	 1	 0	 2	 0	 727.76	 
8	 4	 17	 0	 2	 2	 18	 1	 2	 2	 1	 1004.90	 
8	 5	 14	 1	 2	 0	 16	 1	 2	 1	 1	 939.68	 
8	 6	 15	 0	 2	 1	 3	 0	 0	 1	 0	 1124.45	 
8	 7	 8	 1	 1	 0	 3	 0	 0	 1	 0	 999.49	 
8	 8	 6	 1	 0	 2	 18	 1	 2	 2	 0	 865.61	 
8	 9	 14	 1	 2	 0	 12	 1	 1	 2	 0	 859.24	 
8	 10	 5	 0	 0	 2	 1	 0	 0	 0	 1	 935.47	 
8	 11	 2	 1	 0	 0	 7	 0	 1	 0	 0	 1005.23	 
8	 12	 17	 0	 2	 2	 7	 0	 1	 0	 1	 940.33	 
8	 13	 4	 1	 0	 1	 9	 0	 1	 1	 0	 1399.66	 
8	 14	 12	 1	 1	 2	 2	 1	 0	 0	 0	 1472.01	 
8	 15	 6	 1	 0	 2	 6	 1	 0	 2	 1	 859.89	 
8	 16	 3	 0	 0	 1	 4	 1	 0	 1	 1	 1006.43	 
8	 17	 3	 0	 0	 1	 5	 0	 0	 2	 1	 1266.42	 
8	 18	 1	 0	 0	 0	 13	 0	 2	 0	 0	 1001.14	 
8	 19	 10	 1	 1	 1	 8	 1	 1	 0	 1	 1199.21	 
8	 20	 18	 1	 2	 2	 6	 1	 0	 2	 0	 1001.07	 
8	 21	 16	 1	 2	 1	 2	 1	 0	 0	 0	 927.42	 
8	 22	 4	 1	 0	 1	 6	 1	 0	 2	 1	 864.57	 
8	 23	 5	 0	 0	 2	 9	 0	 1	 1	 1	 934.77	 
8	 24	 5	 0	 0	 2	 15	 0	 2	 1	 0	 1398.64	 
8	 25	 12	 1	 1	 2	 14	 1	 2	 0	 0	 1203.59	 
8	 26	 7	 0	 1	 0	 7	 0	 1	 0	 1	 928.46	 
8	 27	 6	 1	 0	 2	 2	 1	 0	 0	 1	 731.00	 
8	 28	 6	 1	 0	 2	 10	 1	 1	 1	 0	 671.05	 
8	 29	 14	 1	 2	 0	 10	 1	 1	 1	 0	 672.91	 
8	 30	 6	 1	 0	 2	 9	 0	 1	 1	 1	 729.93	 
8	 31	 6	 1	 0	 2	 7	 0	 1	 0	 0	 724.24	 
8	 32	 10	 1	 1	 1	 11	 0	 1	 2	 0	 737.69	 
8	 33	 7	 0	 1	 0	 13	 0	 2	 0	 0	 995.52	 
8	 34	 11	 0	 1	 2	 6	 1	 0	 2	 0	 936.13	 
8	 35	 12	 1	 1	 2	 17	 0	 2	 2	 0	 1068.67	 
8	 36	 17	 0	 2	 2	 13	 0	 2	 0	 1	 871.39	 
8	 37	 18	 1	 2	 2	 4	 1	 0	 1	 0	 801.38	 
8	 38	 6	 1	 0	 2	 11	 0	 1	 2	 0	 927.65	 
8	 39	 14	 1	 2	 0	 6	 1	 0	 2	 0	 728.94	 
8	 40	 12	 1	 1	 2	 5	 0	 0	 2	 0	 736.94	 
8	 41	 15	 0	 2	 1	 8	 1	 1	 0	 1	 1073.35	 
8	 42	 12	 1	 1	 2	 11	 0	 1	 2	 1	 947.37	 
8	 43	 7	 0	 1	 0	 2	 1	 0	 0	 0	 794.75	 
8	 44	 8	 1	 1	 0	 17	 0	 2	 2	 1	 925.55	 
8	 45	 13	 0	 2	 0	 13	 0	 2	 0	 1	 791.87	 
8	 46	 11	 0	 1	 2	 7	 0	 1	 0	 1	 1068.89	 
8	 47	 5	 0	 0	 2	 12	 1	 1	 2	 0	 791.96	 
8	 48	 12	 1	 1	 2	 9	 0	 1	 1	 1	 934.55	 
8	 49	 13	 0	 2	 0	 11	 0	 1	 2	 0	 800.39	 
8	 50	 13	 0	 2	 0	 9	 0	 1	 1	 0	 996.84	 
8	 51	 8	 1	 1	 0	 4	 1	 0	 1	 0	 928.22	 
8	 52	 9	 0	 1	 1	 18	 1	 2	 2	 0	 997.06	 
8	 53	 1	 0	 0	 0	 1	 0	 0	 0	 1	 1129.07	 
8	 54	 13	 0	 2	 0	 1	 0	 0	 0	 0	 872.34	 
8	 55	 13	 0	 2	 0	 16	 1	 2	 1	 1	 999.51	 
8	 56	 5	 0	 0	 2	 13	 0	 2	 0	 0	 1137.04	 
8	 57	 15	 0	 2	 1	 13	 0	 2	 0	 0	 1407.39	 
8	 58	 16	 1	 2	 1	 8	 1	 1	 0	 0	 998.41	 
8	 59	 6	 1	 0	 2	 13	 0	 2	 0	 0	 1198.27	 
8	 60	 10	 1	 1	 1	 9	 0	 1	 1	 0	 1673.57	 
8	 61	 7	 0	 1	 0	 3	 0	 0	 1	 0	 3597.55	 
8	 62	 1	 0	 0	 0	 6	 1	 0	 2	 1	 1260.11	 
8	 63	 16	 1	 2	 1	 13	 0	 2	 0	 0	 939.34	 
8	 64	 18	 1	 2	 2	 13	 0	 2	 0	 1	 1067.58	 
8	 65	 8	 1	 1	 0	 2	 1	 0	 0	 0	 806.00	 
8	 66	 3	 0	 0	 1	 1	 0	 0	 0	 1	 860.14	 
8	 67	 4	 1	 0	 1	 11	 0	 1	 2	 0	 1057.52	 
8	 68	 2	 1	 0	 0	 18	 1	 2	 2	 0	 1195.05	 
8	 69	 11	 0	 1	 2	 15	 0	 2	 1	 0	 1459.66	 
8	 70	 13	 0	 2	 0	 15	 0	 2	 1	 1	 1127.08	 
8	 71	 15	 0	 2	 1	 17	 0	 2	 2	 1	 1333.40	 
8	 72	 17	 0	 2	 2	 14	 1	 2	 0	 1	 999.03	 
8	 73	 9	 0	 1	 1	 2	 1	 0	 0	 0	 1601.57	 
8	 74	 1	 0	 0	 0	 14	 1	 2	 0	 0	 1472.97	 
8	 75	 2	 1	 0	 0	 15	 0	 2	 1	 0	 1061.10	 
8	 76	 14	 1	 2	 0	 17	 0	 2	 2	 1	 1128.38	 
8	 77	 6	 1	 0	 2	 5	 0	 0	 2	 1	 1135.48	 
8	 78	 4	 1	 0	 1	 4	 1	 0	 1	 1	 995.12	 
8	 79	 5	 0	 0	 2	 3	 0	 0	 1	 1	 1001.65	 
8	 80	 1	 0	 0	 0	 5	 0	 0	 2	 1	 1261.04	 
8	 81	 15	 0	 2	 1	 18	 1	 2	 2	 0	 1606.65	 
8	 82	 16	 1	 2	 1	 5	 0	 0	 2	 0	 1468.93	 
8	 83	 10	 1	 1	 1	 14	 1	 2	 0	 0	 1274.94	 
8	 84	 7	 0	 1	 0	 12	 1	 1	 2	 1	 1201.01	 
8	 85	 4	 1	 0	 1	 1	 0	 0	 0	 1	 1798.24	 
8	 86	 2	 1	 0	 0	 14	 1	 2	 0	 0	 1734.61	 
8	 87	 10	 1	 1	 1	 6	 1	 0	 2	 0	 2104.84	 
8	 88	 2	 1	 0	 0	 1	 0	 0	 0	 1	 4140.94	 
8	 89	 16	 1	 2	 1	 10	 1	 1	 1	 0	 2524.18	 
8	 90	 4	 1	 0	 1	 2	 1	 0	 0	 1	 996.40	 
